id,name,iata,region,pi_dimensions_cm,pi_dimensions_in,pi_weight_kg,pi_weight_lbs,pi_fee,pi_notes,co_dimensions_cm,co_dimensions_in,co_weight_kg,co_weight_lbs,co_fee,co_notes,cb_dimensions_cm,cb_dimensions_in,cb_weight_kg,cb_weight_lbs,cb_fee_usd,cb_notes,policy_url,last_updated
vueling,Vueling,VY,Europe,40 x 30 x 20,15.7 x 11.8 x 7.9,,,free,Under-seat personal item included with all fares,55 x 40 x 20,21.7 x 15.7 x 7.9,10,22,varies,Included in Optima fare and above. Basic and Lite fares must purchase.,158 linear cm,62 linear in,23,50,,Paid add-on on most fares. Included in Optima and Family fares.,https://www.vueling.com/en/vueling-services/prepare-your-trip/luggage,2026-03-30
emirates,Emirates,EK,Middle East,55 x 38 x 20,21.5 x 15 x 8,,,free,1 small personal item included in carry-on allowance,55 x 38 x 20,21.5 x 15 x 8,7,15,free,Economy: 7 kg total carry-on. Business: 12 kg.,158 linear cm,62 linear in,23,50,0,Economy includes 1 free checked bag (23 kg). Business includes 2 bags (32 kg each).,https://www.emirates.com/ca/english/before-you-fly/baggage/,2026-03-30
qatar,Qatar Airways,QR,Middle East,40 x 30 x 15,15.7 x 11.8 x 5.9,,,free,Small personal item under seat included with all fares,50 x 37 x 25,19.7 x 14.6 x 9.8,7,15,free,Economy: 7 kg. Business and First: 15 kg. Economy Light fare: paid.,158 linear cm,62 linear in,23,50,0,Economy Classic includes 1 free bag (23 kg). Economy Light: paid. Business: 2 bags (32 kg each).,https://www.qatarairways.com/en/baggage/allowance.html,2026-03-30
etihad,Etihad Airways,EY,Middle East,40 x 30 x 15,15.7 x 11.8 x 5.9,,,free,Must fit under seat in front,50 x 40 x 25,19.7 x 15.7 x 9.8,7,15,free,Economy: 7 kg. Business: 12 kg. Hand Carry Only fare: paid.,158 linear cm,62 linear in,23,50,0,Economy Value includes 1 free bag (23 kg). Hand Carry Only fare: paid. Business: 2 bags (32 kg each).,https://www.etihad.com/en/fly-etihad/baggage,2026-03-30
turkish,Turkish Airlines,TK,Middle East,40 x 30 x 15,15.7 x 11.8 x 5.9,,,free,Under-seat personal item included,55 x 40 x 23,21.7 x 15.7 x 9,8,18,free,Economy includes 1 carry-on (8 kg). Business includes 2 bags (8 kg each).,158 linear cm,62 linear in,23,50,0,Economy includes 1 free bag (23 kg on most routes). Business includes 2 bags (32 kg each).,https://www.turkishairlines.com/en-us/any-questions/baggage-information/,2026-03-30
singapore,Singapore Airlines,SQ,Asia,40 x 30 x 10,15.7 x 11.8 x 3.9,,,free,Small personal item under seat included,55 x 38 x 20,21.7 x 15 x 7.9,7,15,free,Economy: 7 kg. Business and First: 16 kg. Economy Lite fare: paid.,158 linear cm,62 linear in,25,55,0,Economy includes 1 free bag (25 kg). Economy Lite: paid. Business: 2 bags (35 kg each).,https://www.singaporeair.com/en_UK/us/travel-info/baggage/cabin-baggage/,2026-03-30
cathay,Cathay Pacific,CX,Asia,40 x 30 x 15,15.7 x 11.8 x 5.9,,,free,Under-seat personal item included,56 x 36 x 23,22 x 14 x 9,7,15,free,Economy: 7 kg. Business and First: 16 kg.,158 linear cm,62 linear in,23,50,0,Economy includes 1 free bag (23 kg). Business includes 2 bags (32 kg each).,https://flights.cathaypacific.com/en_US/baggage.html,2026-03-30
ana,ANA,NH,Asia,45 x 35 x 20,17.7 x 13.8 x 7.9,,,free,Under-seat bag included with carry-on allowance,55 x 40 x 25,21.7 x 15.7 x 9.8,10,22,free,Economy: 10 kg total carry-on. Business: 15 kg.,158 linear cm,62 linear in,23,50,0,Economy includes 1 free bag (23 kg). Business includes 2 bags (32 kg each).,https://www.ana.co.jp/en/us/travel-information/baggage-information/,2026-03-30
korean-air,Korean Air,KE,Asia,40 x 30 x 15,15.7 x 11.8 x 5.9,,,free,Under-seat personal item included,55 x 40 x 20,21.7 x 15.7 x 7.9,12,26,free,Economy: 12 kg. Business: 18 kg. Generous weight allowance for Asia carriers.,158 linear cm,62 linear in,23,50,0,Economy includes 1 free bag (23 kg on most routes). Business includes 2 bags (32 kg each).,https://www.koreanair.com/contents/plan-your-travel/baggage/carry-on-baggage?hl=en,2026-03-30
airasia,AirAsia,AK,Asia,40 x 30 x 10,15.7 x 11.8 x 3.9,,,free,Small bag under seat free for all passengers,56 x 36 x 23,22 x 14 x 9,7,15,free,7 kg carry-on included with all fares,158 linear cm,62 linear in,20,44,,"No free checked baggage — must purchase 15 kg, 20 kg, or 30 kg add-on.",https://www.airasia.com/aa/inflight-comforts/en/gb/baggage.html,2026-03-30
qantas,Qantas,QF,Oceania,40 x 30 x 11,15.7 x 11.8 x 4.3,,,free,Under-seat personal item included,56 x 36 x 23,22 x 14 x 9,7,15,free,Economy: 7 kg. Business: 14 kg. Economy Lite fare: paid.,158 linear cm,62 linear in,23,50,0,Economy includes 1 free bag (23 kg on most routes). Business includes 2 bags (32 kg each).,https://www.qantas.com/us/en/travel-info/baggage.html,2026-03-30
air-new-zealand,Air New Zealand,NZ,Oceania,25 x 40 x 10,9.8 x 15.7 x 3.9,,,free,Under-seat bag included with all fares,55 x 42 x 25,21.7 x 16.5 x 9.8,7,15,free,Economy: 7 kg. Business Premier: 14 kg. Economy Seat fare: paid.,158 linear cm,62 linear in,23,50,0,Economy includes 1 free bag on most international routes. Domestic economy may be paid.,https://www.airnewzealand.com/carry-on-baggage,2026-03-30
frontier,Frontier Airlines,F9,North America,45 x 35 x 20,17.7 x 13.8 x 7.9,,,free,Must fit under seat in front. Included in all fares.,60 x 40 x 25,24 x 16 x 10,,,varies,"Not included in base BASIC fare — must purchase. Included in WORK, PREMIUM, PERKS bundles.",158 linear cm,62 linear in,23,50,25,From $25 when purchased at booking. Fees increase closer to departure.,https://www.flyfrontier.com/travel/travel-info/bag-options/,2026-03-30
spirit,Spirit Airlines,NK,North America,45 x 35 x 20,18 x 14 x 8,,,free,Free personal item must fit under seat. Spirit calls this a 'small personal item'.,56 x 46 x 25,22 x 18 x 10,,,varies,Not included in base fare — add-on fee required. Buy at booking for lowest price.,158 linear cm,62 linear in,23,50,28,From $28 at booking. Fee increases at airport counter.,https://customersupport.spirit.com/en-us/category/article/KA-01535,2026-03-30
allegiant,Allegiant Air,G4,North America,45 x 35 x 20,17.7 x 13.8 x 7.9,,,free,Must fit under seat in front. One personal item free for all passengers.,55 x 40 x 25,22 x 16 x 10,,,varies,Not included in base fare. Purchase during booking for lowest price (~$15+).,158 linear cm,62 linear in,18,40,15,From $15 online. 40 lb limit (lighter than most US carriers). Fees higher at airport.,https://www.allegiantair.com/optional-services-fees,2026-03-30
hawaiian,Hawaiian Airlines,HA,North America,43 x 30 x 15,17 x 12 x 6,,,free,Must fit under seat in front,56 x 35 x 23,22 x 14 x 9,,,free,1 carry-on + 1 personal item for all fares except Main Cabin Basic.,158 linear cm,62 linear in,23,50,25,First bag $25 on mainland US routes. Free on interisland (Neighbor Island) flights.,https://hawaiianair.custhelp.com/app/answers/detail/a_id/2815/~/carry-on-bag-allowance,2026-03-30
aeromexico,Aeromexico,AM,North America,40 x 35 x 20,15.7 x 13.8 x 7.9,,,free,Must fit under seat in front,55 x 40 x 25,21.7 x 15.7 x 9.8,10,22,free,1 carry-on + 1 personal item. Basic (Básico) fare includes personal item only.,158 linear cm,62 linear in,23,50,30,First bag from ~$30 USD. AM fare classes vary — some include 1 free bag.,https://aeromexico.com/en-us/travel-information/baggage,2026-03-30
volaris,Volaris,Y4,North America,40 x 33 x 17,15.7 x 13 x 6.7,,,free,Small personal bag free in all fares. Must fit under seat.,55 x 40 x 20,21.7 x 15.7 x 7.9,10,22,varies,Not included in base (Simple) fare. Purchase as add-on or upgrade to Plus/Flex.,158 linear cm,62 linear in,25,55,18,From ~$18 USD. Higher weight limit (25 kg) than most US carriers.,https://cms.volaris.com/en/travel-info/baggage-policy/,2026-03-30
vivaaerobus,VivaAerobus,VB,North America,40 x 30 x 15,15.7 x 11.8 x 5.9,,,free,Must fit under seat in front. Included in all fares.,55 x 40 x 20,21.7 x 15.7 x 7.9,10,22,varies,Not included in base fare. Available as an add-on during booking.,158 linear cm,62 linear in,25,55,16,From ~$16 USD when purchased in advance.,https://www.vivaaerobus.com/en-us/info/get-ready-to-fly/baggage-policies,2026-03-30
flair,Flair Airlines,F8,North America,43 x 33 x 15,17 x 13 x 6,,,free,Free for all fares. Must fit under seat in front.,56 x 36 x 23,22 x 14 x 9,,,varies,Not included in base Bare fare. Purchase as add-on. Included in Plus and Premium bundles.,158 linear cm,62 linear in,23,50,22,From ~$29 CAD (~$22 USD) when purchased in advance. Canada's ultra-low cost carrier.,https://www.flyflair.com/travel-info/baggage,2026-03-30
sun-country,Sun Country Airlines,SY,North America,43 x 33 x 18,17 x 13 x 7,,,free,Must fit under seat in front. Free for all passengers.,61 x 41 x 28,24 x 16 x 11,,,varies,Not included in base fare. Purchase in advance for lowest price (~$35+).,158 linear cm,62 linear in,23,50,35,From $35. Club fare and some bundles include a free checked bag.,https://www.suncountry.com/bags-optional-services,2026-03-30
caribbean-airlines,Caribbean Airlines,BW,North America,35 x 23 x 23,13.8 x 9 x 9,,,free,Must fit under seat in front,54 x 43 x 23,21.3 x 17 x 9,7,15,free,1 carry-on + 1 personal item included in all fares.,158 linear cm,62 linear in,23,50,20,Fees vary by route. Caribbean/South America routes from ~$20 USD.,https://www.caribbean-airlines.com/#/baggage/carry-on,2026-03-30
copa,Copa Airlines,CM,South America,40 x 35 x 25,15.7 x 13.8 x 9.8,,,free,Must fit under seat in front,55 x 40 x 20,21.7 x 15.7 x 7.9,10,22,free,1 carry-on + 1 personal item. Economy Basic includes personal item only.,158 linear cm,62 linear in,23,50,35,First bag from $35 in Economy Classic. Included in Business.,https://www.copaair.com/en-gs/travel-information/baggage-information/,2026-03-30
gol,GOL Linhas Aéreas,G3,South America,40 x 30 x 20,15.7 x 11.8 x 7.9,,,free,Must fit under seat in front,56 x 36 x 23,22 x 14.2 x 9,10,22,free,Included in Conforto and Plus fares. Promo fare includes personal item only.,158 linear cm,62 linear in,23,50,20,Largest airline in Brazil by passengers. First bag from ~R$100 on basic fares.,https://www.voegol.com.br/en/information/baggage,2026-03-30
azul,Azul Brazilian Airlines,AD,South America,40 x 30 x 15,15.7 x 11.8 x 5.9,,,free,Must fit under seat in front,55 x 35 x 25,21.7 x 13.8 x 9.8,10,22,free,Included in most fares. Promotional fares may exclude carry-on.,158 linear cm,62 linear in,23,50,20,Third-largest airline in Brazil. First bag included in many fares.,https://www.voeazul.com.br/us/en/your-trip/plan/luggage/carry-on-and-personal-luggage,2026-03-30
aerolineas-argentinas,Aerolíneas Argentinas,AR,South America,40 x 35 x 20,15.7 x 13.8 x 7.9,,,free,Must fit under seat in front,55 x 40 x 20,21.7 x 15.7 x 7.9,8,18,free,1 carry-on + 1 personal item. Argentina's flag carrier.,158 linear cm,62 linear in,23,50,0,First checked bag typically included in economy fares. Verify current policy directly.,https://www.aerolineas.com.ar/en-us/baggage-allowance,2026-03-30
jetsmart,JetSMART,JA,South America,40 x 35 x 20,15.7 x 13.8 x 7.9,,,free,Must fit under seat. Free for all passengers.,55 x 35 x 25,21.7 x 13.8 x 9.8,10,22,varies,Not included in base Smart fare. Available as add-on. Ultra-low cost carrier in South America.,158 linear cm,62 linear in,23,50,15,From ~$15 USD when purchased in advance.,https://jetsmart.com/us/en/opcionales/home,2026-03-30
sky-airline,Sky Airline,H2,South America,40 x 35 x 20,15.7 x 13.8 x 7.9,,,free,Must fit under seat in front,55 x 35 x 25,21.7 x 13.8 x 9.8,10,22,varies,Chilean low-cost carrier. Carry-on add-on required on base fares.,158 linear cm,62 linear in,23,50,15,"From ~$15 USD. Operates in Chile, Peru, Argentina, and Colombia.",https://cda.skyairline.com/es/otros/servicios/centro-de-ayuda/category/37,2026-03-30
norwegian,Norwegian Air,DY,Europe,33 x 20 x 25,13 x 7.9 x 9.8,,,free,Small personal bag under seat free for all LowFare tickets.,55 x 40 x 23,21.7 x 15.7 x 9,10,22,varies,Included in LowFare+ and Flex fares. Add-on for base LowFare tickets.,158 linear cm,62 linear in,23,50,,From ~€20 depending on route and when purchased. Flex includes 1 free bag.,https://www.norwegian.com/us/travel-info/baggage/,2026-03-30
sas,SAS Scandinavian Airlines,SK,Europe,40 x 30 x 15,15.7 x 11.8 x 5.9,,,free,Must fit under seat in front,55 x 40 x 23,21.7 x 15.7 x 9,8,18,free,SAS Go: 1 carry-on included. SAS Go Light: personal item only.,158 linear cm,62 linear in,23,50,,Included in SAS Go and higher fares. SAS Go Light must pay extra.,https://www.flysas.com/en/us/travel-info/baggage/,2026-03-30
iberia,Iberia,IB,Europe,40 x 30 x 20,15.7 x 11.8 x 7.9,,,free,Must fit under seat in front,56 x 45 x 25,22 x 17.7 x 9.8,10,22,free,Economy includes carry-on except Básico fare. Spain's flag carrier.,158 linear cm,62 linear in,23,50,,Included in most Economy fares except Básico. From €20 for Básico.,https://www.iberia.com/us/luggage/hand-luggage/,2026-03-30
eurowings,Eurowings,EW,Europe,40 x 30 x 10,15.7 x 11.8 x 3.9,,,free,Small bag under seat free for all fares,55 x 40 x 23,21.7 x 15.7 x 9,10,22,free,"Included in SMART, BEST, and BIZclass fares. Basic fare: small bag only.",158 linear cm,62 linear in,23,50,,From ~€15 depending on route. Lufthansa Group low-cost carrier.,https://www.eurowings.com/en/information/baggage.html,2026-03-30
swiss,Swiss International Air Lines,LX,Europe,40 x 30 x 10,15.7 x 11.8 x 3.9,,,free,Small personal item in addition to carry-on for most fares,55 x 40 x 23,21.7 x 15.7 x 9,8,18,free,Economy includes 1 carry-on. Economy Light includes personal item only.,158 linear cm,62 linear in,23,50,,Economy Light: paid. Economy Classic includes 1 bag. Lufthansa Group premium carrier.,https://www.swiss.com/us/en/prepare/baggage,2026-03-30
austrian,Austrian Airlines,OS,Europe,40 x 30 x 10,15.7 x 11.8 x 3.9,,,free,Small personal item in addition to carry-on,55 x 40 x 23,21.7 x 15.7 x 9,8,18,free,Economy Light: personal item only. Economy Classic+ includes carry-on.,158 linear cm,62 linear in,23,50,,Economy Light: paid. Economy Classic includes 1 bag. Austria's flag carrier.,https://www.austrian.com/us/en/baggage,2026-03-30
finnair,Finnair,AY,Europe,40 x 30 x 15,15.7 x 11.8 x 5.9,,,free,Must fit under seat in front,56 x 45 x 25,22 x 17.7 x 9.8,8,18,free,Economy Light: no carry-on. Economy Classic includes 1 carry-on. Finland's flag carrier.,158 linear cm,62 linear in,23,50,,Included in Economy Classic and Flex fares. Economy Light pays extra.,https://www.finnair.com/us-en/baggage-on-finnair-flights,2026-03-30
tap,TAP Air Portugal,TP,Europe,40 x 30 x 20,15.7 x 11.8 x 7.9,,,free,Must fit under seat in front,55 x 40 x 20,21.7 x 15.7 x 7.9,8,18,free,Discount and Classic fares include carry-on. Basic fare: personal item only.,158 linear cm,62 linear in,23,50,,Included in Classic and above. Discount and Basic fares pay extra. Portugal's flag carrier.,https://www.flytap.com/en-us/information/baggage,2026-03-30
ita-airways,ITA Airways,AZ,Europe,40 x 30 x 15,15.7 x 11.8 x 5.9,,,free,Must fit under seat in front,55 x 35 x 25,21.7 x 13.8 x 9.8,8,18,free,Italy's flag carrier (successor to Alitalia). Carry-on included in Economy Light and above.,158 linear cm,62 linear in,23,50,,Included in Economy and Business fares. Economy Light: paid extra.,https://www.ita-airways.com/en_us/fly-ita/baggage.html,2026-03-30
lot,LOT Polish Airlines,LO,Europe,40 x 35 x 20,15.7 x 13.8 x 7.9,,,free,Must fit under seat in front,55 x 40 x 23,21.7 x 15.7 x 9,8,18,free,Economy Classic and above include carry-on. Economy Light: personal item only.,158 linear cm,62 linear in,23,50,,Included in most fares. Poland's flag carrier — hub at Warsaw Chopin.,https://www.lot.com/us/en/baggage,2026-03-30
aegean,Aegean Airlines,A3,Europe,40 x 30 x 15,15.7 x 11.8 x 5.9,,,free,Must fit under seat in front,56 x 45 x 25,22 x 17.7 x 9.8,8,18,free,1 carry-on + 1 personal item included in all fares. Greece's largest airline.,158 linear cm,62 linear in,23,50,,Included in Flex and Value fares. Simple fare may require extra payment.,https://en.aegeanair.com/travel-information/baggage/,2026-03-30
pegasus,Pegasus Airlines,PC,Europe,40 x 30 x 15,15.7 x 11.8 x 5.9,,,free,Must fit under seat in front,55 x 40 x 20,21.7 x 15.7 x 7.9,8,18,varies,Turkish low-cost carrier. Essential fare: personal item only. Eco and above include carry-on.,158 linear cm,62 linear in,20,44,,From ~€15 depending on route and booking time. Turkey's largest low-cost carrier.,https://www.flypgs.com/en/pegasus-baggage-allowance,2026-03-30
transavia,Transavia,HV,Europe,40 x 30 x 15,15.7 x 11.8 x 5.9,,,free,Small bag under seat free for all passengers,55 x 40 x 25,21.7 x 15.7 x 9.8,10,22,varies,Air France/KLM low-cost subsidiary. Carry-on included in Plus and Flex fares.,158 linear cm,62 linear in,20,44,,From ~€19 when booked in advance. Available in 15 kg and 20 kg options.,https://www.transavia.com/help/en-eu/baggage/cabin-baggage,2026-03-30
aer-lingus,Aer Lingus,EI,Europe,25 x 33 x 20,9.8 x 13 x 7.9,,,free,Small under-seat bag free for all fares,55 x 40 x 24,21.7 x 15.7 x 9.4,10,22,free,"SAVE fare: no overhead carry-on. PLUS, SMART, AER CLUB include carry-on. Ireland's flag carrier.",158 linear cm,62 linear in,23,50,,SAVE fare must purchase. PLUS and above include 1 checked bag.,https://www.aerlingus.com/prepare/bags/,2026-03-30
icelandair,Icelandair,FI,Europe,42 x 32 x 25,16.5 x 12.6 x 9.8,,,free,Must fit under seat in front,56 x 45 x 25,22 x 17.7 x 9.8,10,22,free,1 carry-on + 1 personal item included in most fares. Iceland's flag carrier.,158 linear cm,62 linear in,23,50,,Economy Light: no free bag. Economy Standard includes 1 bag. Transatlantic hub through Reykjavik.,https://www.icelandair.com/en-ca/support/baggage/overview/,2026-03-30
air-baltic,airBaltic,BT,Europe,40 x 30 x 15,15.7 x 11.8 x 5.9,,,free,Small bag free for all fares. Must fit under seat.,55 x 40 x 23,21.7 x 15.7 x 9,8,18,free,Included in Economy and Business fares. Baltic states' leading airline.,158 linear cm,62 linear in,23,50,,"From ~€20. Included in Business and higher fares. Hub at Riga, Latvia.",https://www.airbaltic.com/en/baggage,2026-03-30
condor,Condor,DE,Europe,40 x 30 x 10,15.7 x 11.8 x 3.9,,,free,Small under-seat bag free for all fares,55 x 40 x 20,21.7 x 15.7 x 7.9,6,13,free,German leisure airline. 1 carry-on included in Economy and above. Light fare: personal item only.,158 linear cm,62 linear in,23,50,,Economy includes 1 free bag. Economy Light must pay. Focuses on holiday destinations.,https://www.condor.com/eu/flight-preparation/baggage-and-animals/baggage.jsp,2026-03-30
jet2,Jet2,LS,Europe,35 x 20 x 20,13.8 x 7.9 x 7.9,,,free,Small under-seat bag free for all passengers,56 x 45 x 25,22 x 17.7 x 9.8,10,22,free,UK's largest holiday airline. 1 carry-on included for all passengers on all fares.,158 linear cm,62 linear in,22,48,,From ~£25 when added at booking. Known for generous allowances.,https://www.jet2.com/en/baggage,2026-03-30
air-serbia,Air Serbia,JU,Europe,40 x 30 x 15,15.7 x 11.8 x 5.9,,,free,Must fit under seat in front,55 x 40 x 23,21.7 x 15.7 x 9,8,18,free,1 carry-on + 1 personal item included in Economy and above. Serbia's flag carrier.,158 linear cm,62 linear in,23,50,,Included in most economy fares. Light fare may require extra payment.,https://www.airserbia.com/en/explore/services/baggage,2026-03-30
flydubai,flydubai,FZ,Middle East,40 x 30 x 15,15.7 x 11.8 x 5.9,,,free,Must fit under seat in front,55 x 38 x 20,21.7 x 15 x 7.9,7,15,free,Dubai-based low-cost carrier. Lite fare: small bag only. Economy includes carry-on.,158 linear cm,62 linear in,20,44,,From ~AED 60 depending on route and booking time. Emirates Group subsidiary.,https://www.flydubai.com/en/flying-with-us/baggage/,2026-03-30
air-arabia,Air Arabia,G9,Middle East,40 x 30 x 15,15.7 x 11.8 x 5.9,,,free,Must fit under seat in front,55 x 40 x 20,21.7 x 15.7 x 7.9,10,22,free,Middle East's first and largest low-cost carrier. 10 kg carry-on included in all fares.,158 linear cm,62 linear in,23,50,20,From ~$20 USD. Higher weight packages available. Hub at Sharjah International.,https://www.airarabia.com/en/baggage,2026-03-30
